class_name,label,parent,existing_comment,din_clause,comment
ContinuationFlowControl,Continuation Flow Control,FlowControl,,"Table 12, DCK char2 (A)",Records that the flow-control device controls the continuing (foul-water) flow rather than an overflow. Used for DCK char2 (A).
CorrectConnection,Correct Connection,FlowFromIncomingPipe,,"Table 7, BDE char2 (C); Table 13, DDE char2 (C)",The connecting pipe was not observed to be wrongly connected. Used for BDE char2 (C) and DDE char2 (C).
CorrodedLadderHandrail,Corroded Ladder Handrail,DefectiveStepOrLadder,,,
CorrodedLadderRunner,Corroded Ladder Runner,DefectiveStepOrLadder,,,
CorrodedLadderSupport,Corroded Ladder Support,DefectiveStepOrLadder,,,
CorrodedReinforcement,Corroded Reinforcement,Surface,,,
CorrodedStep,Corroded Step,DefectiveStepOrLadder,,,
CorrosionProductsOnSurface,Corrosion Products On Surface,Surface,,,
CoverAboveSurfaceLevel,Cover Above Surface Level,DefectiveCoverOrFrame,,,
CoverBelowSurfaceLevel,Cover Below Surface Level,DefectiveCoverOrFrame,,,
CrackFissure,Crack Fissure,Fissure,,"Table 4, BAB char1 (B); Table 10, DAB char1 (B)",A fissure where crack lines are visible on the wall but the pieces remain in place; more severe than a surface crack but not yet an open fracture. Used for BAB char1 (B) and DAB char1 (B).
CrackInRepairMaterial,Crack In Repair Material,DefectiveRepair,,,
CrackOrSplitOrWeldFailure,Crack Or Split Or Weld Failure,Lining,,"Table 4, BAK char1 (I); Table 10, DAK char1 (I)","The lining has a crack, a split, or a failed weld. Used for BAK char1 (I) and DAK char1 (I); DIN treats these three distinct fault types as a single characterization value, which SDCO mirrors in one class rather than splitting them."
CrossSection,Cross Section,Inventory,"Used to describe DCO.

DCO Characterisation The shape of the horizontal (plan) cross-section of the manhole or inspection  chamber as follows:  circular (A); rectangular (B);  local section - code to be specified by the employing authority and prefixed by an X (e.g. XA);  !other (Z) – where this is used",,
DamagedConnection,Damaged Connection,DefectiveConnection,,,
Defect,Defect,Observation,,8.2/8.3 headings; 11.2/11.3 headings,"The standard groups its fabric-condition and operation-condition main codes (BA../BB.. for pipes, DA../DB.. for nodes) under these two editorial headings, without restricting how the codes may be combined. SDCO mirrors that split with StructuralDefect and OperationalDefect as the two children of Defect."
DefectiveBenching,Defective Benching,Benching,,"Table 12, DCH char (A)",Records that the benching is defective. Used for DCH char (A).
DefectiveBrickworkOrMasonry,Defective Brickwork Or Masonry,StructuralDefect,,"Table 4, BAD; Table 10, DAD","Individual bricks or masonry units of a brick/masonry pipe or chamber have moved, gone missing, or (pipes only) let the invert drop, from their original position. Used for BAD (pipe) and DAD (manhole/chamber)."
DefectiveChannel,Defective Channel,Channel,,"Table 12, DCI char1 (A)",Records that the channel is defective. Used for DCI char1 (A).
DefectiveConnection,Defective Connection,StructuralDefect,,"Table 4, BAH; Table 10, DAH","A connection to the pipe or chamber is faulty; wrongly positioned, gapped, damaged or blocked. Used for BAH (pipe) and DAH (manhole/chamber), with char giving the specific defect type as its subclasses."
DefectiveCoverOrFrame,Defective Cover Or Frame,StructuralDefect,,"Table 10, DAR","There is a defect in the manhole or inspection chamber cover or frame; broken, rocking, missing, or set above/below the surrounding surface level. Used only for DAR; the standard defines no pipe-side equivalent, since pipes have no cover."
DefectiveEndOfLining,Defective End Of Lining,Lining,,,
DefectiveGritTrap,Defective Grit Trap,GritTrapUnderCover,,,
DefectiveOtherPipelineThroughManhole,Defective Other Pipeline Through Manhole,OtherPipelineThroughManhole,,,
DefectiveRepair,Defective Repair,StructuralDefect,,"Table 4, BAL; Table 10, DAL","A previously carried-out repair to the pipe or chamber wall now itself has a defect. Used for BAL (pipe, requires the BCB point-repair code too) and DAL (manhole/chamber, requires DCB too), with char1 giving the specific defect type."
DefectiveSafetyBar,Defective Safety Bar,SafetyChainBar,,,
DefectiveSafetyChain,Defective Safety Chain,SafetyChainBar,,,
DefectiveSiltPit,Defective Silt Pit,SiltPit,,,
DefectiveStepOrLadder,Defective Step Or Ladder,StructuralDefect,,"Table 10, DAQ","There is a defect in an access step, ladder or toe hole inside a manhole or inspection chamber. Used only for DAQ; the standard defines no pipe-side equivalent, since pipes have no steps or ladders."
DefectiveToeHole,Defective Toe Hole,DefectiveStepOrLadder,,,
Deformation,Deformation,StructuralDefect,,"Table 4, BAA; Table 10, DAA","The cross-sectional shape of the pipe or chamber has changed from its original shape, either generally across a wide area or as a localised deformation. Used for BAA (pipe) and DAA (manhole/chamber); DAA further splits into GeneralDeformation and LocalisedDeformation, a distinction BAA does not make."
DetachedLining,Detached Lining,Lining,,,
DiscoloredLining,Discolored Lining,Lining,,,
DiscountinuedWastewaterCode,Discountinued Wastewater Code,Wastewater,,"Table 7, BDD (B); BDE char1 (B); DDE char1 (B)","A wastewater-appearance value retained from an earlier edition of the standard whose use has since been discontinued. Used for BDD (B), BDE char1 (B) and DDE char1 (B)."
DisplacedBrickworkOrMasonry,Displaced Brickwork Or Masonry,DefectiveBrickworkOrMasonry,,,
DisplacedJoint,Displaced Joint,StructuralDefect,,"Table 4, BAJ; Table 10, DAJ","Adjacent pipe units, or adjacent chamber units, are displaced out of their intended alignment relative to each other. Used for BAJ (pipe, char: longitudinal/radial/angular) and DAJ (manhole/chamber, char: vertical/horizontal/angular); the two codes reuse different sets of Orientation values for the same displacement concept."
DisplacedSealingRing,Displaced Sealing Ring,IntrudingSealingRing,,"Table 4, BAI char2 (A); Table 10, DAI char2 (A)",The sealing ring is visibly displaced from its joint but is not intruding into the bore. Used for BAI char2 (A) and DAI char2 (A).
Down,Down,Orientation,,,
DrilledPlainConnection,Drilled Plain Connection,PipeConnection,,"Table 4, BCA char1 (D)","A connection made without any special fitting, through a neat, drilled hole. Used for BCA char1 (D), distinguished from ChiselledPlainConnection by the hole-forming method."
DrilledSaddleConnection,Drilled Saddle Connection,PipeConnection,,"Table 4, BCA char1 (B)","A connection made using a saddle fitting through a neat, drilled hole. Used for BCA char1 (B), distinguished from ChiselledSaddleConnection by the hole-forming method."
DrippingInfiltration,Dripping Infiltration,Infiltration,,"Table 5, BBF char (B); Table 11, DBF char1 (B)",Water enters as intermittent drips rather than a continuous flow. Used for BBF char (B) and DBF char1 (B).
DroppedInvertBrickworkOrMasonry,Dropped Invert Brickwork Or Masonry,DefectiveBrickworkOrMasonry,,"Table 4, BAD char1 (C)","A section of the invert of a brick or masonry pipeline has dropped relative to the walls, leaving a gap of more than 20 mm. Used only for BAD char1 (C); DIN defines no equivalent DAD value for manholes/chambers."
EggShapedConnectingPipeline,Egg Shaped Connecting Pipeline,ConnectingPipeline,,"Table 12, DCG char1 (C)","A pipe cross-section shaped like an egg (narrower top, wider bottom). Used for DCG char1 (C)."
EncrustationAttachedDeposit,Encrustation Attached Deposit,AttachedDeposits,,,
EndOfLiningNotSealed,End Of Lining Not Sealed,Lining,,,
EnteringThroughConnectionObstacle,Entering Through Connection Obstacle,Obstacle,,,
EquipmentFailure,Equipment Failure,Cause,,"Table 7, BDC char1 (C); Table 13, DDC char1 (D)","One of the listed reasons an inspection was terminated early, denoting a failure of the inspection equipment itself. Used for BDC char1 (C) and DDC char1 (D)."
ExcessRepairMaterial,Excess Repair Material,DefectiveRepair,,,
Exfiltration,Exfiltration,OperationalDefect,,"Table 5, BBG; Table 11, DBG",Visible leakage of flow out of the pipe or chamber. Used for BBG (pipe) and DBG (manhole/chamber); neither code carries any characterization or quantification.
ExternalBulgeLining,External Bulge Lining,Lining,,,
ExternalPipesOrCablesBuiltThroughStructureObstacle,External Pipes Or Cables Built Through Structure Obstacle,Obstacle,,,
FineSettledDeposit,Fine Settled Deposit,SettledDeposit,,"Table 5, BBC char (A); Table 11, DBC char (A)",Fine settled material such as sand or silt. Used for BBC char (A) and DBC char (A).
Fissure,Fissure,StructuralDefect,,"Table 4, BAB; Table 10, DAB","A crack in the pipe or chamber wall, ranging from a surface-only crack through visible crack lines to a fully open fracture. Used for BAB (pipe) and DAB (manhole/chamber), with SurfaceCrackFissure, CrackFissure and FractureFissure as its char1 subclasses."
FlapValveFlowControl,Flap Valve Flow Control,FlowControl,,,
FloatOperatedGateValveFlowControl,Float Operated Gate Valve Flow Control,FlowControl,,,
FlowControl,Flow Control,Inventory,Used to describe DCK: Flow Control,,
FlowFromIncomingPipe,Flow From Incoming Pipe,OtherObservation,,"Table 7, BDE; Table 13, DDE","Information about the wastewater flowing from an incoming/connecting pipe, requiring the connection code (BCA, or DCA+DCG) to also be recorded. Used for BDE (pipe) and DDE (manhole/chamber), with char1 giving the water's appearance (shared with Wastewater) and char2 flagging a wrongly-connected pipe."
FlowingInfiltration,Flowing Infiltration,Infiltration,,"Table 5, BBF char (C); Table 11, DBF char1 (C)",Water enters as a continuous flow. Used for BBF char (C) and DBF char1 (C).
FoulingAttachedDeposit,Fouling Attached Deposit,AttachedDeposits,,"Table 5, BBB char (C); Table 11, DBB char (C)","A deposit of organisms (e.g. biofilm) attached to the wall, as opposed to encrustation or grease. Used for BBB char (C) and DBB char (C)."
FractureFissure,Fracture Fissure,Fissure,,"Table 4, BAB char1 (C); Table 10, DAB char1 (C)","The most severe fissure type: a crack visibly open in the wall, though the pieces are still in place. Used for BAB char1 (C) and DAB char1 (C)."
FreeDropConnection,Free Drop Connection,NodeConnection,,"Table 12, DCA char1 (B)",The connecting pipe discharges as a free fall (an open drop) into the channel. Used for DCA char1 (B).
GapConnection,Gap Connection,DefectiveConnection,,"Table 4, BAH char (B); Table 10, DAH char (B)","There is a gap all the way around the connecting pipe's junction with the main pipe or chamber wall. Used for BAH char (B) and DAH char (B), distinguished from PartialGapConnection by extending around the full circumference."
GateValveFlowControl,Gate Valve Flow Control,FlowControl,,,
GeneralDeformation,General Deformation,Deformation,,,
GeneralPhotograph,General Photograph,OtherObservation,,"Table 7, BDA; Table 13, DDA",A still photograph taken to record the general condition of the pipe or chamber rather than a specific coded feature. Used for BDA (pipe) and DDA (manhole/chamber).
GeneralRemark,General Remark,OtherObservation,,"Table 7, BDB; Table 13, DDB",A free-text remark that cannot be captured by any other code. Used for BDB (pipe) and DDB (manhole/chamber).
GreaseAttachedDeposit,Grease Attached Deposit,AttachedDeposits,,,
GritTrapUnderCover,Grit Trap Under Cover,Inventory,"Used to describe DCM.

DCM This is used to record the presence of a grit trap (bucket) under the cover.  Characterisation The following information:  trap present with no defects (A); trap missing (with evidence that one was provided) (B); trap defective (C).",,
GushingInfiltration,Gushing Infiltration,Infiltration,,"Table 5, BBF char (D); Table 11, DBF char1 (D)",The most severe infiltration extent: water entering under pressure. Used for BBF char (D) and DBF char1 (D).
HardOrCompactedSettledDeposit,Hard Or Compacted Settled Deposit,SettledDeposit,,"Table 5, BBC char (C); Table 11, DBC char (C)",Hard or compacted settled material such as concrete. Used for BBC char (C) and DBC char (C).
Helical,Helical,Orientation,,,
HighPointChannel,High Point Channel,Channel,,"Table 12, DCI char2 (C)",The channel has a high point (a local rise against the flow direction). Used for DCI char2 (C).
HighWaterLevel,High Water Level,Cause,,"Table 7, BDC char1 (B); Table 13, DDC char1 (C)","One of the listed reasons an inspection was terminated early, denoting a water level too high to continue. Used for BDC char1 (B) and DDC char1 (C)."
HoleInLining,Hole In Lining,Lining,,,
HoleInRepairMaterial,Hole In Repair Material,DefectiveRepair,,,
HoleRepair,Hole Repair,PointRepair,,"Table 6, BCB char1 (E); Table 12, DCB char (D)","A hole was repaired directly (e.g. patched) rather than by lining, injection or replacement. Used for DCB char (D); the corresponding pipe-side value (BCB char1 E) has no someValuesFrom wiring, so only node individuals currently materialize into this class."
Horizontal,Horizontal,Orientation,,,
HydrogenSulfide,Hydrogen Sulfide,AtmosphereWithin,,"Table 7, BDF char (B); Table 13, DDF char (B)",Hydrogen sulfide gas was detected in the atmosphere. Used for BDF char (B) and DDF char (B).
InConnection,In Connection,Location,,,
InManholeOrInspectionChamber,In Manhole Or Inspection Chamber,Location,,"Table 11, DBH char2 (A)","The vermin was seen in the manhole or inspection chamber itself, the node-side counterpart of the pipe-side InPipeline value. Used for DBH char2 (A)."
InOpenJoint,In Open Joint,Location,,,
InPipeline,In Pipeline,Location,,"Table 5, BBH char2 (A)","The vermin was seen in the pipeline itself, one of the listed vermin-location values used for pipe inspections. Used for BBH char2 (A); the node-side equivalent value is instead InManholeOrInspectionChamber (DBH char2 A), since the location described differs for the two structures."
Inclined,Inclined,Orientation,,,
IncorrectPositionConnection,Incorrect Position Connection,DefectiveConnection,,,
IncreasedRoughness,Increased Roughness,Surface,,,
IndependentFineRoots,Independent Fine Roots,Roots,,,
Infiltration,Infiltration,OperationalDefect,,"Table 5, BBF; Table 11, DBF","Water ingressing into the pipe or chamber through the wall, joints or defects. Used for BBF (pipe, char: sweating/dripping/flowing/gushing extent) and DBF (manhole/chamber, char1 extent + char2 entry point: wall, invert connection, or benching connection); DBF adds an entry-location characterization that BBF does not have."
IngressOfFineMaterial,Ingress Of Fine Material,IngressOfSoil,,,
IngressOfGravel,Ingress Of Gravel,IngressOfSoil,,,
IngressOfOtherSoil,Ingress Of Other Soil,IngressOfSoil,,,
IngressOfPeat,Ingress Of Peat,IngressOfSoil,,,
IngressOfSand,Ingress Of Sand,IngressOfSoil,,,
IngressOfSoil,Ingress Of Soil,OperationalDefect,,"Table 5, BBD; Table 11, DBD","Soil from the surrounding ground is intruding into the pipe or chamber. Used for BBD (pipe, with char giving the soil type as subclasses) and DBD (manhole/chamber); DIN gives DBD no characterization codes, so the soil-type subclasses only ever classify pipe individuals."
InjectedMortarRepair,Injected Mortar Repair,PointRepair,,"Table 6, BCB char1 (C)","Mortar was injected to repair the defect, a pipe-only repair method. Corresponds to BCB char1 (C); has no someValuesFrom wiring to hasPipeInventoryFeature, so this class is not currently reachable through materialization; DIN's node-side equivalent (DCB C, injection of sealing material) is instead mapped to InjectedSealingMaterialRepair."
InjectedSealingMaterialRepair,Injected Sealing Material Repair,PointRepair,,"Table 6, BCB char1 (D); Table 12, DCB char (C)","A sealing material other than mortar was injected to repair the defect. Used for DCB char (C); on the pipe side this corresponds to BCB char1 (D), which has no someValuesFrom wiring, so only node individuals currently materialize into this class."
InspectionChamber,Inspection Chamber,NodeType,,,
InspectionComplete,Inspection Complete,InspectionStatus,,"Table 7, BDC char2 (A)/(C); Table 13, DDC char2 (A)","Records that, taken with a previous partial inspection, the whole pipeline is now complete. Used for BDC char2 (C); SDCO also maps the distinct 'objective achieved' values (BDC char2 A, DDC char2 A) onto this same class, conflating two different DIN characterization meanings under one class name."
InspectionIncomplete,Inspection Incomplete,InspectionStatus,,"Table 7, BDC char2 (D)","Records that, taken with a previous partial inspection, the whole pipeline is still not complete. Used only for BDC char2 (D); DIN defines no DDC char2 equivalent since manholes/chambers are not inspected in successive partial passes."
InspectionStatus,Inspection Status,Cause,,"Table 7, BDC char2","Groups the standard's second termination-reason characterization, which records how a terminated pipe inspection relates to a previously completed partial inspection of the same pipeline. SDCO collects InspectionComplete, InspectionIncomplete, InspectionStatusUnknown and PreviousPartialInspection under this parent."
InspectionStatusUnknown,Inspection Status Unknown,InspectionStatus,,"Table 7, BDC char2 (E)","Records that it is not known whether, taken with a previous partial inspection, the whole pipeline is now complete. Used only for BDC char2 (E); DIN defines no DDC char2 equivalent."
InspectionTermination,Inspection Termination,OtherObservation,,"Table 7, BDC; Table 13, DDC","The inspection was terminated before reaching the intended finish node (pipe) or before completion (node); any obstruction causing this shall also be coded separately with its own main code. Used for BDC (pipe) and DDC (manhole/chamber), with the Cause subtree giving the termination reason and outcome as subclasses."
InternalDropPipeConnection,Internal Drop Pipe Connection,NodeConnection,,"Table 12, DCA char1 (D)","The connecting pipe discharges via an internal drop pipe fitted inside the chamber, distinct from an external backdrop pipe. Used for DCA char1 (D)."
InternalFilmOrCoatingSeparation,Internal Film Or Coating Separation,Lining,,"Table 4, BAK char1 (G); Table 10, DAK char1 (G)",The internal film or coating layer of a lining has separated from the host wall. Used for BAK char1 (G) and DAK char1 (G).
IntrudingBrokenSealingRing,Intruding Broken Sealing Ring,IntrudingSealingRing,,"Table 4, BAI char2 (D); Table 10, DAI char2 (C)",The sealing ring is both intruding into the bore and broken. Used for BAI char2 (D) and DAI char2 (C).
IntrudingButNotBrokenSealingRing,Intruding But Not Broken Sealing Ring,IntrudingSealingRing,,"Table 10, DAI char2 (B)","The node-side sealing ring is intruding but not broken; unlike the pipe-side code, DIN does not split this by centreline position for manholes/chambers. Used only for DAI char2 (B)."
IntrudingConnection,Intruding Connection,StructuralDefect,,"Table 4, BAG; Table 10, DAG","A connecting pipe projects into the main pipe or chamber, obstructing its cross-section. Used for BAG (pipe, requires the BCA connection code too) and DAG (node, requires DCA and DCG too)."
IntrudingOtherSealant,Intruding Other Sealant,IntrudingSealingMaterial,,,
IntrudingSealingMaterial,Intruding Sealing Material,StructuralDefect,,"Table 4, BAI; Table 10, DAI","Material used to seal a joint between adjacent pipe or chamber units is intruding into the bore. Used for BAI (pipe) and DAI (manhole/chamber), with char1 distinguishing a sealing ring from other sealant."
IntrudingSealingRing,Intruding Sealing Ring,IntrudingSealingMaterial,,"Table 4, BAI char1 (A); Table 10, DAI char1 (A)","The intruding sealing material is a sealing ring rather than another kind of sealant. Used for BAI char1 (A) and DAI char1 (A); its own char2 subclasses record whether the ring is displaced, intruding, or broken."
IntrudingSealingRingAboveCentreline,Intruding Sealing Ring Above Centreline,IntrudingSealingRing,,"Table 4, BAI char2 (B)","The sealing ring is intruding but not broken, with its lowest point above the horizontal centreline. Used only for BAI char2 (B); DIN's node-side char2 has no centreline split; it only distinguishes intruding-but-not-broken (IntrudingButNotBrokenSealingRing) from broken."
IntrudingSealingRingBelowCentreline,Intruding Sealing Ring Below Centreline,IntrudingSealingRing,,"Table 4, BAI char2 (C)","The sealing ring is intruding but not broken, with its lowest point below the horizontal centreline. Used only for BAI char2 (C); see IntrudingSealingRingAboveCentreline for the corresponding node-side simplification."
Inventory,Inventory,Observation,,8.4/11.4 headings,"The standard's inventory codes (BC.. for pipes, DC.. for nodes) record permanent fixtures and construction features of the network rather than defects. SDCO groups the corresponding classes (Connection, PointRepair, SewerCurvature, NodeType, Benching, Channel, FlowControl, etc.) under Inventory."
InvertConnectionInfiltration,Invert Connection Infiltration,Infiltration,"Infiltration through the space between a connecting pipe and the wall of the manhole/chamber, at the invert",,
Junction,Junction,PipeConnection,,"Table 4, BCA char1 (A)","The connection is made using a prefabricated pipe unit with a factory-formed junction, rather than a fitting added on site. Used for BCA char1 (A)."
LampHole,Lamp Hole,NodeType,,"Table 6, BCD/BCE (D)","A small-diameter vertical access shaft to a drain, too narrow for personnel entry, used mainly for rodding rather than inspection access. Used for BCD (D) and BCE (D)."
LayerBrickworkOrMasonryVisible,Layer Brickwork Or Masonry Visible,MissingBrickworkOrMasonry,,"Table 4, BAD char2 (A); Table 10, DAD char2 (A)","Where brickwork or masonry is missing, another layer of brickwork or masonry is visible through the hole. Used for BAD char2 (A) and DAD char2 (A)."
Left,Left,Orientation,,,
